basis,kind,threshold,flag_rate,precision,recall,f1,note
từ chối lịch sử 21.9%,CHÍNH,0.11734871194813716,0.21897255373808983,0.21693367242755573,0.5884189325276938,0.31699873862387934,khẩu vị rủi ro thực tế của Home Credit
  từ chối Cash loans 34.7%,tham khảo,0.07631333857733563,0.34678953529966505,0.1717440483865296,0.7377643504531722,0.27862664372034646,"cùng công thức, theo loại"
  từ chối Consumer loans 10.7%,tham khảo,0.1903818448840183,0.10715505186823193,0.28963241151701374,0.38444108761329304,0.3303693126500941,"cùng công thức, theo loại"
  từ chối Revolving loans 33.6%,tham khảo,0.07891406398751416,0.33626955220968424,0.17471139317014203,0.7277442094662638,0.28177608812204513,"cùng công thức, theo loại"
KS/Youden,ĐỐI CHIẾU,0.08178641062375527,0.32499756105492505,0.17835701420852512,0.7180261832829808,0.28573718590950986,"max TPR−FPR, không giả định"
"chi phí thật, LGD=0.30",phụ,0.58,0.0010121622061071184,0.642570281124498,0.008056394763343404,0.015913272663981303,"FP=AMT_CREDIT×r (cash 0.41), FN=AMT_CREDIT×LGD; LGD giả định"
"chi phí thật, LGD=0.45",phụ,0.47,0.005516080777860883,0.5689019896831246,0.03887210473313192,0.07277183390677287,"FP=AMT_CREDIT×r (cash 0.41), FN=AMT_CREDIT×LGD; LGD giả định"
"chi phí thật, LGD=0.60",phụ,0.4,0.012682514389775943,0.503525641025641,0.07910372608257804,0.13672758920800696,"FP=AMT_CREDIT×r (cash 0.41), FN=AMT_CREDIT×LGD; LGD giả định"
"chi phí thật, LGD=0.80",phụ,0.33,0.02712106923352086,0.42835731414868106,0.14390735146022154,0.2154379617066184,"FP=AMT_CREDIT×r (cash 0.41), FN=AMT_CREDIT×LGD; LGD giả định"
"chi phí thật, LGD=1.00",phụ,0.28,0.045047315534454166,0.38052698068940627,0.2123363544813696,0.27257449421498287,"FP=AMT_CREDIT×r (cash 0.41), FN=AMT_CREDIT×LGD; LGD giả định"
"cũ: fn=5, fp=1",bỏ,0.15,0.15784039543429482,0.24877671903167653,0.486404833836858,0.32918725506900665,"tỉ lệ bịa, không có cơ sở"
