threshold,flag_rate,precision,recall,f1,tp,fp,fn,tn,basis
0.05,0.4861427270657865,0.1403319536769932,0.8450654582074522,0.2406941307231724,16783,102812,3077,123336,
0.0818,0.3249365874280511,0.17832793324743235,0.7177744209466264,0.2856799302584246,14255,65682,5605,160466,đối chiếu: KS/Youden
0.1,0.2636255731520926,0.19895457489129428,0.6496978851963746,0.30462497344004535,12903,51951,6957,174197,
0.1173,0.2191026308087542,0.21689764568375355,0.5886706948640483,0.316996786919917,11691,42210,8169,183938,CHÍNH: từ chối lịch sử
0.15,0.15784039543429482,0.24877671903167653,0.486404833836858,0.32918725506900665,9660,29170,10200,196978,
0.2,0.09768381516048259,0.2987807415421747,0.36153071500503525,0.32717413592763894,7180,16851,12680,209297,
0.25,0.06061591492959578,0.3469688841201717,0.2605236656596173,0.29759576670884624,5174,9738,14686,216410,
0.3,0.036970342427888526,0.3972512369433755,0.18192346424974823,0.2495596615437748,3613,5482,16247,220666,
0.35,0.021942375857695685,0.4453501296776584,0.12104733131923465,0.19035553092089638,2404,2994,17456,223154,
0.4,0.012682514389775943,0.503525641025641,0.07910372608257804,0.13672758920800696,1571,1549,18289,224599,
0.45,0.007137979252707229,0.5415717539863326,0.04788519637462236,0.08799037749814952,951,805,18909,225343,
0.5,0.0037071965139345063,0.5789473684210527,0.026586102719033233,0.050837666088965915,528,384,19332,225764,
0.55,0.0016056388410133004,0.6075949367088608,0.012084592145015106,0.02369785238212787,240,155,19620,225993,
0.6,0.0006991642548209814,0.622093023255814,0.005387713997985901,0.010682907348242811,107,65,19753,226083,
0.65,0.0002195050567461221,0.7592592592592593,0.0020644511581067474,0.0041177061363864625,41,13,19819,226135,
0.7,7.723326070696888e-05,0.6842105263157895,0.0006545820745216516,0.0013079128728809297,13,6,19847,226142,
0.75,1.219472537478456e-05,0.3333333333333333,5.0352467270896274e-05,0.00010068972461360318,1,2,19859,226146,
0.8,4.0649084582615195e-06,1.0,5.0352467270896274e-05,0.00010069986405518353,1,0,19859,226148,
0.85,0.0,0.0,0.0,0.0,0,0,19860,226148,
0.9,0.0,0.0,0.0,0.0,0,0,19860,226148,
0.95,0.0,0.0,0.0,0.0,0,0,19860,226148,
